Signatur;Autor:in Nachname;Autor:in Vorname;Titel;Jahr der Veröffentlichung;Schlagwort;Klappentext;ISBN;Sprache
Ahrens;Ahrens ;Stephan;Lehrbuch der Psychotherapeutischen Medizin;1997;Psychotherapie;Der hauptberuflich psychotherapeutisch tätige firmiert künftig als Facharzt für psychotherapeutische Medizin zusätzlich gibt es den Facharzt für Psychiatrie und Psychotherapie. Diese formalen Ebene scheint Bewegung in die aktuelle Annäherung der Bereiche Psychotherapie und Psychiatrie zu bringen. Im Sinne dieser sich an waren in den Kooperation zwischen psychotherapeutischen und psychiatrischen Institution stellt das Buch gleichermaßen Starthilfe wie Wissensbasis für die Weiterbildung in diesen Fachbereichen dar. Es steckt den Rahmen psychotherapeutischer in die Kationen ab stellt eine differenzierte Krankheitslehre auf der Basis psychoanalytische Theorie ihn vor und zeigt das Spektrum psychotherapeutischer Behandlungsansätze und Indikatoren auf: Das Lehrbuch als Leitfaden für den psychotherapeutischen Zugang zum Patienten. Fachlich besonders ausgewiesene Autorinnen und Autoren haben ihre Kompetenz und ihre zum Teil sehr persönlichen Erfahrungen eingebracht. In einer einheitlichen, die taktisch einprägsam Gliederung und Durchfall Beispiele illustriert, ist darum ein ebenso lebendiges wie fundiertes und praxisanleitendes Lehrbuch entstanden, das durch sehr ausführliche Fach- und Personenregister sowie ein Abkürzungsverzeichnis gleichzeitig als Nachschlagewerk dient.;3-7945-1637-3;Deutsch
Aldridge01;Aldridge;David;Music Therapy World - Musiktherapie in der Behandlung von Demenz;2003;Demenz;"Hauptsächlich innerhalb der letzten zehn Jahre entwickelten Musiktherapeuten ihre Aerbeit mir älteren Menschen und mit Demenzpatienten. Das Buch ""MUSIC THERAPY WORLD -MUSIKTHERAPIE IN DER BEHANDLUNG VON DEMENZ"" basiert auf unterschiedlichen Forschungsstudien und den umfangreichen persönlichen Erfahrungen von Musiktherapeuten aus aller Welt; als eine Möglichkeit Erinnerungsvermögen, Gesundheitszustand und Identität von Menschen zu verbessern, die an Demenz und insbesondere an Alzheimer leiden. Hier werden Fragen angesprochen, die sich aus der Arbeit mit diesen Patienten ergeben, etwa der Umgang mit Kriegserinnerungen; es wird beschrieben, wie Musiktherapie auf dem Weg über Töne und Bewegungen die Kommunikation fördert oder überhaupt erst ermöglicht. Dieses frische, originelle Buch ist interessanter, informativer Lesestoff für Betreuende und Familienangehörige von Demenzpatienten und gleichzeitig für Musiktherapeuten und alle diejenigen, die in der Psychogeratrie tätig sind. David Aldridge ist Inhaber des Lehrstuhls für Qualitative Forschung in der Medizin der Fakultät für Medizin an der Universität Witten/Herdecke (Deutschland). Weitere Informationen finden Sie im Internet unter http://www.musictherapyworld.de";3-8334-1045-1;Deutsch
Aldridge02;Aldridge;David;Musiktherapie in der Medizin;1999;Medizinische Forschung;"Künstlerische Therapieformen sind durchaus der in der Medizin üblichen Wirksamkeitsforschung zugänglich - vorausgesetzt, man lässt sich methodisch auf die Besonderheiten des Therapieprozesses ein. Dieses Buch schlägt die Brücke zwischen traditioneller Medizin und Musiktherapie. Anhand von Falldarstellungengen belegt es, dass Musiktherapie bei einer Vielzahl von medizinischen Indikatoren, u.a. Bei AIDS, Krebs, Koma, Altersdemenz, und bei frühkindlichem Autismus, eine vielversprechende Form der Behandlung ist. Insbesondere für palliative und Rehabilitationsmedizin ist eine von der Musiktherapie inspirierte ""symphonische"" Betrachtungsweise des Menschlichen Körpers außerordentlich befruchtend. Gleichzeitig werden die Möglichkeiten einer Forschungsentwicklung aufgezeigt, mit deren Hilfe die klinische Bedeutung von Musiktherapie darstellbar wird. Indem der Autor die klinische Praxis mit wissenschaftlichen Aspekten verwebt, zeigt er vielfältige Wege, auf denen eine Wissenschaftskultur aus der Praxis heraus entwickelt werden kann - zum Nutzen aller Beteiligten. Dieses Buch beleuchtet die therapeutischen Aspekte in einer Weise, die es nicht nur für Musiktherapeuten zu einer wertvollen Leküre machen, sondern auch für Studenten, Angehörige von Gesundheitsberufen, Kunsttherapeuten, Ärzte, Pflegende, Hospizmitarbeiter oder diejenigen, die mit chronisch kranken Menschen oder Sterbenden arbeiten.";3-456-82901-9;Deutsch
Aldridge03;Aldridge;David, Gudrun;Melody in Music Therapy. A therapeutic Narrative Analysis;2008;Melody;"Melody is thought to be an 'essential core' of music. In the context of music therapy, looking at how patients develop their own melodies in improvisation can explain how they find their own voice, determine their position in relation to the world, and play an important role in how they relate to their therapist.

Gudrun Aldridge and David Aldridge explore the concept of melody within its historical context and investigate current theories of melody. They make recommendations for choosing an appropriate method of analysing melodic improvisation, and utilise case studies to demonstrate these analyses in practice. They show how the interaction between patient and therapist is affected by the patient's melodic statements, and how the process of improvisation offers patients a chance to transform their inner emotions into externalised expressions.

Melody in Music Therapy is an important addition to music therapy literature, and will be of interest to music therapists, educators and students alike, as well as musicologists.";978-1-85302-755-0;Englisch
Alvin;Alvin;Juliette;Musiktherapie. Ihre Geschichte und ihre moderne Anwedung in der Heilbehandlung;1984;;Die Musiktherapie ist in unserer Zeit ein hochaktuelles Thema. Die weltweit anerkannte englische Musiktherapeutin Juliette Alvin schildert die Geschichte und die gegenwärtige Anwendung der Musiktherapie in der Behandlung, Rehabilitation, Erziehung und Förderung von Kindern und Erwachsenen, die an körperlichen, geistigen oder seelischen Störungen leiden.;3-423-04419-5;Deutsch
Alwast;Alwast;Angelika;Seinsklänge;2016;Klang, Zelt, Rhythmus;"Vorwort Auszug:
– Worin liegen die magischen, den Hörenden verwandelnden Kräfte der
Musik?
– Was ist Musik als Musik? Sinnstiftendes Ereignis – ein poetisches Erleb-
nis? Ein neurophysiologischer Synapsen-Konnex?
„Philosophische Entwicklungspsychologie“ findet sich in diesem Satz An- gelika Alwasts: „Die Dimension, in die Musik hineinführt, sind die Dimen- sionen des Lebens selbst.“ Alle Leserinnen, die vorzugsweise nur einzelne Ausschnitte lesen, soll- ten mit der Fabel Homers von der Leier des Hermes beginnen, weil sie da einer Schildkröte begegnen, deren Innenraum uns durch diese originäre und originelle Autorin in den Folgekapiteln vertraut gemacht wird durch die Fragen, die der Schildkrötenpanzer als künftige Leier aufwirft, z. B.:
Was sind die dem Wesen der Musik eigenen Wurzeln in der (griechi- schen) Mythologie, die als Grundwasser in der Seelengeschichte des Men- schen in unserem Kulturkreis plätschert? Ein Kulturkreis, dessen Wurzeln wir umso mehr pflegen sollten, je mehr er sich durch Globalisierung, durch Völkerwanderung vermischen wird mit anderen Kulturkreisen – zu hof- fentlich wechselseitiger weiterer Kreativierung unseres Fühlens, Denkens und Handelns für uns selbst und für und mit unseren Patienten. So denken wir mit der Autorin über den Zusammenhang zwischen Mythos und thera- peutischem Prozess nach.
Weitere Beispielfrage:
Wie kommt es zu der Wechselwirkung zwischen Musik und Bewusst- sein? Diesmal antworten weniger die Neuropsychologie und -physiologie, sondern Immanuel Kant mit seiner transzendentalen Perspektive (aus der heraus ich die transzendierende Funktion der Musik neu verstand und in den Katalog der Funktionen der Musik in der menschlichen Psyche auf- nahm).
Dieses kleine Buch thematisiert die große Aufgabe der Musik als „ge- stalteter Zeit-Sinn“, und wer noch bei dem Wiener Professor Haase seine harmonikalen Grundlagen studierte, wird neben Wiederkennung eine neue Auffassung von Harmonik kennenlernen.
Ich habe das Buch als Anlass für eine längst fällige Neu-Tapezierung meines Wissens um die Philosophie der Musik nehmen können – und wünsche dies nicht nur einigen, sondern etlichen kollegialen und anderen interessierten Lesern!
Prof. Dr. Dr. h. c. Hans-Helmut Decker-Voigt Prof. h. c. der Kunstwissenschaften
März 2016";978-3-95490-167-8;Deutsch
Alwast;Alwast;Angelika;Seinsklänge;;;;;
Auch-Johannes, Weymann;Auch-Johannes, Weymann;Inga;Klangbrücken. Musiktherapie in der häuslichen Versorgung vin Menschen mit Demenz - ein Leitfaden für die Praxis;2015;Demenz, häusliche Versorgung, Kommunikation;Musiktherapie gilt mittlerweile als eine wirksame Methode der Begleitung von Menschen mit Demenz. Die Erkrankung verändert allmählich die Wahrnehmungen und sozialen Bezüge der Betroffenen, die oft über langeZeit von ihren nächsten Angehörigen zu Hause versorgt werden. In dieser Situation kann ambulante, aufsuchende Musiktherapie hilfreich sein. Das Buch bietet einen Leitfaden für den Aufbau spezifischer musiktherapeutischerAngebote in diesem Bereich. Es wendet sich in erster Linie an MusiktherapeutInnen, spricht aber auch AltenpflegerInnen und Angehörige anderer benachbarter Berufe an. Auch für die pflegenden Angehörigen sind die bereitgestellten Informationen von Interesse. Im Zentrum des Buches steht die Darstellung der ambulanten Musiktherapie und einer Gruppen-Veranstaltung für die Angehörigen. Vor dem Hintergrund aktueller Forschungsergebnisse werden konkrete Hilfestellungen zum Einstieg gegeben und mit zahlreiche Fallvignetten praxisnah verdeutlicht.;978-3-95490-156-2;Deutsch
Aulbert;Aulbert;Eberhard;Lehrbuch von Palliativmedizin;2007;Palliativmedizin;"Im Mittelpunkt der Palliativmedizin steht die Behandlung und Begleitung von Patienten mit einer nicht heilbaren, progredienten und weit fortgeschrittenen Erkrankung bei begrenzter Lebenserwartung, wie z. B. Tumorerkrankungen, AIDS, chronische internistische, neurologische und geriatrische Erkrankungen sowie pädiatrische Stoffwechselerkrankungen in der Terminalphase.
Ziele des ganzheitlichen Behandlungskonzeptes sind die umfassende und fachgerechte Linderung belastender Krankheitssymptome, Hilfe bei der Krankheitsbewältigung, Rehabilitation, Verbesserung der Lebensqualität und Sterbebegleitung. Um diese zu erreichen, ist es notwendig, dass Ärzte verschiedener Fachrichtungen, Pflegepersonal und alle anderen Berufsgruppen, die unheilbar Kranke betreuen, auf diesem Gebiet sehr gut aus-, fort- und weitergebildet sind und eng miteinander kooperieren. Eine extreme Herausforderung, bei deren Bewältigung dieses Lehrbuch eine große Hilfe ist.";3-7945-2361-X;Deutsch
Badcock;Badcock;Christopher;Psycho - darwinismus, Die Synthese von Darwin und Freud;1999;Psychoanalyse;Auf diesen Begriff bringt Christoph Badcock das von ihm entdeckte faszinierende Zusammmenspiel von Evolution und Seele. Noch nie wurde so anschaulich dargestellt, wie unser genetisches Verhaltensprogramm und die Prägungen, die wir durch die Umwelt erfahren, miteinander kooperieren. Dieses Buch entwickelt aus den Erkenntnisen von Darwin und Freud ein völlig neues Bild des Menschen.;3-446-17500-8;Deutsch
